"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
-828.695861816406,-334.958190917969,-307.759002685547,-249.796844482422,-247.311370849609,856.554382324219,1401.79956054688,-147.330383300781,2158.8837890625,2940.40307617188,22.9602527618408,-435.070220947266,-118.545013427734,914.183471679688,414.3720703125,-482.488494873047,1725.04699707031,-186.049041748047,525.082275390625,-183.165664672852,-221.24072265625,888.681091308594,1557.02429199219,1281.24768066406,2507.97436523438,1435.91735839844,2344.578125,1425.32507324219,-149.612365722656,-29.6650257110596,548.02587890625,1545.02954101562,-277.822509765625,-480.299865722656,403.216979980469,543.067260742188,1772.32531738281,1321.40612792969,755.183410644531,859.108215332031,-267.979736328125,215.13264465332,-798.229797363281,239.242858886719,481.568328857422,1283.83154296875,1462.88720703125,-303.786529541016,-33.9795036315918,627.37060546875,1890.53894042969,-672.56640625,-843.274597167969,582.848999023438,766.4833984375,-367.463165283203,-1.22023773193359,-556.853210449219,1318.70007324219,1202.95104980469,432.959838867188,-628.58837890625,-77.6974182128906,1964.89758300781,-148.717132568359,973.739929199219,-760.539916992188,-39.5571212768555,-128.881988525391,-305.354919433594,1341.46960449219,463.225708007812,-149.280715942383,1688.7724609375,862.93017578125,528.874450683594,1505.20788574219,1476.93884277344,-221.949630737305,290.955322265625,-427.143005371094,-224.025299072266,-587.184265136719,739.096923828125,-93.1560745239258,-280.068328857422,585.835815429688,-113.369491577148,90.234733581543,-359.291809082031,2507.7216796875,1333.63110351562,-6.72372770309448,-268.487945556641,-92.054069519043,1379.98608398438,-6.51847124099731,296.50537109375,-594.404418945312,791.893432617188
-264.663452148438,-107.012535095215,-98.2901763916016,-79.7792739868164,-78.977912902832,273.478393554688,447.713134765625,-47.0704078674316,689.482055664062,939.11328125,7.36869049072266,-138.966873168945,-37.8446426391602,292.014434814453,132.287338256836,-154.084411621094,550.985595703125,-59.433479309082,167.730880737305,-58.5149574279785,-70.6753387451172,283.774871826172,497.243682861328,409.204803466797,800.941650390625,458.696899414062,748.80908203125,455.268768310547,-47.7757987976074,-9.46178245544434,175.124816894531,493.54248046875,-88.7310028076172,-153.377136230469,128.758575439453,173.438903808594,565.988464355469,422.036560058594,241.190093994141,274.332153320312,-85.5881042480469,68.6743392944336,-254.958694458008,76.4575881958008,153.734527587891,409.99267578125,467.193145751953,-97.0112075805664,-10.8926839828491,200.254425048828,603.828430175781,-214.837249755859,-269.365539550781,186.161056518555,244.930526733398,-117.374031066895,-0.377663046121597,-177.85627746582,421.178253173828,384.158203125,138.195846557617,-200.778060913086,-24.8143749237061,627.506042480469,-47.5123596191406,310.923889160156,-242.879501342773,-12.6498394012451,-41.1807708740234,-97.525390625,428.446655273438,147.923858642578,-47.683422088623,539.356262207031,275.615783691406,168.846817016602,480.791961669922,471.797882080078,-70.8881301879883,92.9542770385742,-136.368453979492,-71.5640335083008,-187.530456542969,236.008102416992,-29.771183013916,-89.4674301147461,187.156143188477,-36.2011375427246,28.7834644317627,-114.760581970215,800.824829101562,425.975158691406,-2.16354012489319,-85.7754287719727,-29.3659381866455,440.769104003906,-2.10934638977051,94.6855010986328,-189.829528808594,252.81982421875
-960.848693847656,-388.330352783203,-356.800842285156,-289.596527099609,-286.782958984375,993.171813964844,1625.43725585938,-170.788604736328,2503.16821289062,3409.19873046875,26.5814170837402,-504.477325439453,-137.471237182617,1059.87414550781,480.433074951172,-559.430114746094,2000.2021484375,-215.734298706055,608.7333984375,-212.370147705078,-256.528961181641,1030.44421386719,1805.45874023438,1485.59704589844,2907.7509765625,1664.81005859375,2718.384765625,1652.74780273438,-173.435302734375,-34.4078330993652,635.215698242188,1791.27319335938,-322.127899169922,-556.884582519531,467.51708984375,629.538391113281,2055.091796875,1532.10412597656,875.690490722656,996.12890625,-310.704986572266,249.587539672852,-925.503356933594,277.192565917969,558.4892578125,1488.66577148438,1696.08325195312,-352.212158203125,-39.3759803771973,727.384033203125,2192.0439453125,-779.804931640625,-977.745544433594,675.777893066406,888.627685546875,-426.047576904297,-1.45515966415405,-645.650207519531,1528.94763183594,1394.650390625,502.099884033203,-728.832641601562,-90.0962524414062,2278.31494140625,-172.438140869141,1128.91870117188,-881.825500488281,-45.8585739135742,-149.453262329102,-354.071868896484,1555.53430175781,537.197204589844,-173.097274780273,1958.06103515625,1000.61444091797,613.419982910156,1745.20288085938,1712.28869628906,-257.329925537109,337.344512939453,-495.309600830078,-259.721832275391,-680.843139648438,857.011291503906,-107.96257019043,-324.732208251953,679.1416015625,-131.427276611328,104.737060546875,-416.562805175781,2907.59155273438,1546.28076171875,-7.79576301574707,-311.259490966797,-106.753837585449,1599.98461914062,-7.51759624481201,343.725494384766,-689.181457519531,918.230407714844
-411.843872070312,-166.497497558594,-152.936874389648,-124.14567565918,-122.905113220215,425.585845947266,696.706848144531,-73.2422180175781,1072.85510253906,1461.326171875,11.4583139419556,-216.238433837891,-58.8917427062988,454.321929931641,205.922927856445,-239.761734008789,857.275634765625,-92.476676940918,261.011871337891,-91.0461959838867,-109.963340759277,441.603637695312,773.7666015625,636.7294921875,1246.28869628906,713.688049316406,1165.18005371094,708.434326171875,-74.328369140625,-14.7428712844849,272.384826660156,767.972778320312,-138.071823120117,-238.668151855469,200.417373657227,269.860961914062,880.758117675781,656.722534179688,375.310546875,426.866088867188,-133.169006347656,106.874557495117,-396.716766357422,118.920402526855,239.27033996582,637.97802734375,726.941528320312,-150.963226318359,-16.9368762969971,311.652282714844,939.570861816406,-334.284973144531,-419.140991210938,289.66748046875,381.090942382812,-182.641998291016,-0.591172516345978,-276.759185791016,655.403869628906,597.801574707031,215.132339477539,-312.404663085938,-38.621036529541,976.442016601562,-73.9279174804688,483.815765380859,-377.966827392578,-19.6836280822754,-64.0830001831055,-151.749603271484,666.709350585938,230.194107055664,-74.1936569213867,839.282165527344,428.861328125,262.797149658203,748.102478027344,734.010559082031,-110.297576904297,144.598968505859,-212.222106933594,-111.35718536377,-291.805023193359,367.235809326172,-46.311939239502,-139.21012878418,291.195678710938,-56.3235969543457,44.834156036377,-178.567153930664,1246.16516113281,662.817504882812,-3.36823987960815,-133.459091186523,-45.7181816101074,685.824645996094,-3.26925015449524,147.317993164062,-295.39111328125,393.45166015625
-88.658935546875,-35.8471832275391,-32.9334907531738,-26.7236957550049,-26.4540748596191,91.6306686401367,149.981887817383,-15.7664403915405,230.982620239258,314.570495605469,2.48492193222046,-46.5495300292969,-12.6745567321777,97.8441467285156,44.3156623840332,-51.6175270080566,184.599197387695,-19.9085922241211,56.197883605957,-19.6048717498779,-23.6781578063965,95.0860214233398,166.564483642578,137.089218139648,268.339813232422,153.674270629883,250.857604980469,152.475311279297,-16.0083045959473,-3.16328692436218,58.6671981811523,165.319091796875,-29.729513168335,-51.3751754760742,43.1106796264648,58.1277465820312,189.591934204102,141.359008789062,80.7752838134766,91.9097442626953,-28.6721286773682,23.0359764099121,-85.4076614379883,25.6025123596191,51.4941673278809,137.360092163086,156.540405273438,-32.5016555786133,-3.6488573551178,67.0974426269531,202.28352355957,-71.9647979736328,-90.2206649780273,62.3460578918457,82.0142135620117,-39.3177299499512,-0.128227099776268,-59.5800170898438,141.099899291992,128.694869995117,46.3124046325684,-67.2667236328125,-8.31516075134277,210.184616088867,-15.9164752960205,104.172645568848,-81.3574905395508,-4.23495197296143,-13.7937107086182,-32.6702346801758,143.497680664062,49.5751876831055,-15.9640455245972,180.694915771484,92.3242645263672,56.5231704711914,161.062805175781,158.069473266602,-23.738073348999,31.1340637207031,-45.681640625,-23.9705963134766,-62.818229675293,79.0922698974609,-9.96721839904785,-29.9678554534912,62.6851081848145,-12.1311635971069,9.63449287414551,-38.4451751708984,268.245483398438,142.707473754883,-0.724706172943115,-28.7310752868652,-9.83025169372559,147.676376342773,-0.709351301193237,31.7199287414551,-63.5977668762207,84.6679763793945
-298.531524658203,-120.704216003418,-110.869232177734,-89.9926223754883,-89.0885696411133,308.482269287109,504.974090576172,-53.1011047363281,777.674377441406,1059.28833007812,8.32385921478271,-156.746383666992,-42.6887626647949,329.352752685547,149.227157592773,-173.805953979492,621.420776367188,-67.0270843505859,189.24609375,-66.0001678466797,-79.7127990722656,320.097778320312,560.824157714844,461.535705566406,903.407470703125,517.414245605469,844.617248535156,513.499633789062,-53.8834266662598,-10.6792697906494,197.521789550781,556.676330566406,-100.08186340332,-173.007293701172,145.257476806641,195.652450561523,638.43115234375,476.04736328125,272.049285888672,309.436553955078,-96.5308609008789,77.4422607421875,-287.578308105469,86.2320175170898,173.385772705078,462.453399658203,526.939453125,-109.426124572754,-12.2897043228149,225.908157348633,681.075561523438,-242.325286865234,-303.831176757812,209.984313964844,276.266815185547,-132.394393920898,-0.415490239858627,-200.607223510742,475.083129882812,433.334075927734,155.880706787109,-226.465438842773,-27.9904918670654,707.793640136719,-53.5960540771484,350.737548828125,-273.966766357422,-14.2729091644287,-46.4514961242676,-109.99893951416,483.255737304688,166.84635925293,-53.780345916748,608.36376953125,310.859344482422,190.426055908203,542.278442382812,532.115600585938,-79.9562454223633,104.809638977051,-153.8125,-80.7267532348633,-211.51628112793,266.194946289062,-33.5852317810059,-100.919105529785,211.094696044922,-40.8264274597168,32.4915084838867,-129.440185546875,903.283081054688,480.4814453125,-2.44995903968811,-96.7496185302734,-33.1365394592285,497.136535644531,-2.37999844551086,106.795188903809,-214.124114990234,285.205078125
-804.729431152344,-325.295562744141,-298.857055664062,-242.573669433594,-240.176803588867,831.673828125,1361.37707519531,-143.086959838867,2096.36547851562,2855.46435546875,22.206657409668,-422.5556640625,-115.118103027344,887.675231933594,402.346740722656,-468.526947021484,1675.11779785156,-180.680114746094,509.888885498047,-177.860488891602,-214.85285949707,862.968811035156,1511.99560546875,1244.12585449219,2435.24340820312,1394.34350585938,2276.71533203125,1384.31018066406,-145.258255004883,-28.82399559021,532.110168457031,1500.43286132812,-269.772216796875,-466.384002685547,391.610321044922,527.245666503906,1721.07275390625,1283.31420898438,733.429260253906,834.163757324219,-260.255035400391,208.946838378906,-775.132995605469,232.238525390625,467.628631591797,1246.6376953125,1420.32556152344,-294.980895996094,-33.0108299255371,609.095947265625,1835.87683105469,-653.127319335938,-818.967712402344,565.99267578125,744.522094726562,-356.860961914062,-1.19629991054535,-540.775024414062,1280.56457519531,1167.96130371094,420.398590087891,-610.379455566406,-75.4345474243164,1908.04162597656,-144.41389465332,945.417053222656,-738.578002929688,-38.4250221252441,-125.180152893066,-296.517791748047,1302.86669921875,449.862274169922,-144.984130859375,1639.896484375,837.987182617188,513.791015625,1461.71643066406,1434.08923339844,-215.560333251953,282.45654296875,-414.757659912109,-217.54557800293,-570.212341308594,717.642333984375,-90.4723434448242,-271.998107910156,568.883483886719,-110.082885742188,87.6544036865234,-348.8935546875,2435.13427734375,1295.02368164062,-6.56745958328247,-260.738037109375,-89.3704147338867,1340.00610351562,-6.33731079101562,287.823669433594,-577.16357421875,769.008483886719
-872.976318359375,-352.859222412109,-324.211364746094,-263.1162109375,-260.560028076172,902.265075683594,1476.88928222656,-155.202331542969,2274.12817382812,3097.5361328125,24.0737609863281,-458.374633789062,-124.897132873535,962.959716796875,436.496398925781,-508.258422851562,1817.23596191406,-196.014434814453,553.107849121094,-192.942672729492,-233.074295043945,936.194641113281,1640.24951171875,1349.62475585938,2641.73779296875,1512.47143554688,2469.74194335938,1501.63684082031,-157.571823120117,-31.2508678436279,577.099060058594,1627.58251953125,-292.638427734375,-505.929443359375,424.799774169922,571.8681640625,1867.02990722656,1392.10900878906,795.651184082031,904.914611816406,-282.335845947266,226.69514465332,-840.833740234375,251.900207519531,507.437194824219,1352.45153808594,1540.83776855469,-319.991455078125,-35.7752265930176,660.769958496094,1991.50817871094,-708.4912109375,-888.372863769531,613.895935058594,807.547119140625,-387.115692138672,-1.31096351146698,-586.632629394531,1389.09729003906,1266.98901367188,456.122985839844,-662.127685546875,-81.8257141113281,2069.9208984375,-156.658813476562,1025.53979492188,-801.206298828125,-41.6596527099609,-135.780136108398,-321.658630371094,1413.40795898438,488.039367675781,-157.281158447266,1779.013671875,909.050598144531,557.411682128906,1585.673828125,1555.71447753906,-233.823379516602,306.424377441406,-449.978881835938,-235.972213745117,-618.553344726562,778.583557128906,-98.1050491333008,-295.048706054688,617.0869140625,-119.435455322266,95.089714050293,-378.472930908203,2641.5888671875,1404.83044433594,-7.11552095413208,-282.815887451172,-96.9449081420898,1453.64343261719,-6.86822462081909,312.197235107422,-626.107849121094,834.223083496094
-174.026306152344,-70.3646087646484,-64.6270141601562,-52.458553314209,-51.9283332824707,179.816528320312,294.374847412109,-30.961311340332,453.335784912109,617.473083496094,4.84757471084595,-91.3728790283203,-24.87864112854,192.008560180664,86.9852828979492,-101.30884552002,362.2705078125,-39.0672378540039,110.321395874023,-38.4753074645996,-46.4636077880859,186.580825805664,326.909851074219,269.073272705078,526.62890625,301.629150390625,492.351013183594,299.353515625,-31.4133586883545,-6.22360372543335,115.147605895996,324.53564453125,-58.3494987487793,-100.842582702637,84.6613235473633,114.056495666504,372.146301269531,277.514892578125,158.577438354492,180.371109008789,-56.2714195251465,45.1434860229492,-167.643218994141,50.2757301330566,101.050804138184,269.569671630859,307.183624267578,-63.7821426391602,-7.16931486129761,131.677627563477,397.049346923828,-141.267471313477,-177.124771118164,122.421905517578,161.054321289062,-77.1762847900391,-0.243162706494331,-116.942207336426,276.943237304688,252.599273681641,90.8491744995117,-132.016738891602,-16.3202629089355,412.573516845703,-31.2425346374512,204.418319702148,-159.701080322266,-8.32031154632568,-27.0832767486572,-64.1229629516602,281.696716308594,97.260124206543,-31.3475131988525,354.612609863281,181.194580078125,110.986930847168,316.127380371094,310.207672119141,-46.6083946228027,61.1071662902832,-89.6517105102539,-47.0606155395508,-123.297210693359,155.17610168457,-19.5809650421143,-58.8238067626953,123.080596923828,-23.7974014282227,18.9353771209717,-75.4529724121094,526.534362792969,280.086822509766,-1.43003344535828,-56.4067764282227,-19.3083667755127,289.822418212891,-1.39141738414764,62.2564735412598,-124.812484741211,166.245819091797
-105.649765014648,-42.7113342285156,-39.2361488342285,-31.8537197113037,-31.5216598510742,109.185432434082,178.70166015625,-18.7986888885498,275.226989746094,374.868377685547,2.9444317817688,-55.4706840515137,-15.10426902771,116.564193725586,52.8110237121582,-61.5097808837891,219.924499511719,-23.7139739990234,66.9818572998047,-23.352502822876,-28.2044982910156,113.298919677734,198.464141845703,163.371551513672,319.744323730469,183.111206054688,298.920349121094,181.724304199219,-19.0732612609863,-3.78213453292847,69.9146118164062,197.006958007812,-35.4292030334473,-61.2277755737305,51.3891105651855,69.2580795288086,225.951568603516,168.4873046875,96.2699432373047,109.513885498047,-34.1621017456055,27.4206504821777,-101.772323608398,30.4884147644043,61.3398132324219,163.649459838867,186.495513916016,-38.7281036376953,-4.34730529785156,79.9703063964844,241.056228637695,-85.754508972168,-107.528816223145,74.3256988525391,97.7486267089844,-46.8526840209961,-0.152220949530602,-70.989860534668,168.125701904297,153.376510620117,55.1632537841797,-80.1505737304688,-9.90933990478516,250.455856323242,-18.9634189605713,124.132217407227,-96.964973449707,-5.04789066314697,-16.4380970001221,-38.9319458007812,170.996871948242,59.0679244995117,-19.022855758667,215.269348144531,109.993957519531,67.3677139282227,191.903671264648,188.271179199219,-28.294641494751,37.0861701965332,-54.4342193603516,-28.5706081390381,-74.8564758300781,94.2170104980469,-11.8836336135864,-35.7125930786133,74.7076873779297,-14.4470491409302,11.5015497207642,-45.8066215515137,319.687561035156,170.033065795898,-0.867988348007202,-34.2434501647949,-11.7303714752197,175.960067749023,-0.842240571975708,37.7957916259766,-75.7801284790039,100.948310852051
